site,plot,tree,core,species,year,notes
MEW,C6,1440,N,QUAL,2011,"~1"" from pith"
MEW,C6,1436,N,QUAL,1995,
MEW,C6,1436,N,QUAL,1996,
MEW,C6,1436,N,QUAL,2001,
MEW,C6,1436,N,QUAL,2002,
MEW,C6,1436,N,QUAL,2011,
MEW,C6,1436,W,QUAL,1940,
MEW,C6,1436,W,QUAL,2000,
MEW,C6,1436,W,QUAL,2011,
MEW,C6,1427,E,QUAL,1995,
MEW,C6,1427,E,QUAL,1996,
MEW,C6,1411,N,QUAL,,
MEW,C6,1433,N,QUAL,1996,
MEW,C6,1433,N,QUAL,1998,
MEW,C6,1433,N,QUAL,1999,
MEW,C6,1433,N,QUAL,2009,
MEW,C6,1433,E,QUAL,1875,
MEW,C6,1433,E,QUAL,1996,
MEW,D1,1482,E,QUAL,1988,
MEW,D1,1482,N,QUAL,1989,
MEW,D1,1482,N,QUAL,2001,
MEW,A1,1470,E,QURU,2007,
MEW,D1,1491,N,QUMA,1896,
MEW,D1,1491,N,QUMA,1897,
MEW,D1,1491,N,QUMA,1898,
MEW,D1,1491,N,QUMA,1992,
MEW,D1,1491,N,QUMA,1994,
MEW,D1,1491,N,QUMA,2008,
MEW,D1,1491,E,QUMA,1989,
MEW,D1,1491,E,QUMA,1994,
MEW,D1,1491,E,QUMA,1995,
MEW,D1,1491,E,QUMA,1999,
MEW,D1,1491,E,QUMA,2007,
MEW,D1,1488,N,QURU,2007,
MEW,D1,1488,N,QURU,2013,
MEW,B5,1498,N,QUMA,90's,break near pith
MEW,B5,1498,E,QUMA,90's,
MEW,O109,4,A,QUAL,1995,
MEW,O109,4,A,QUAL,2009,
MEW,O109,4,A,QUAL,2010,
MEW,O109,4,B,QUAL,1995,
MEW,O109,4,B,QUAL,2005,
MEW,O109,4,B,QUAL,2008,
MEW,O109,4,B,QUAL,2010,
MEW,R109,24,A,QUMA,1993,
MEW,R109,24,A,QUMA,1994,
MEW,R109,24,A,QUMA,2000,
MEW,R109,24,A,QUMA,2001,
MEW,R109,24,B,QUMA,1993,
MEW,R109,24,B,QUMA,1994,
MEW,R109,24,B,QUMA,2001,
MEW,R109,24,B,QUMA,2002,
MEW,R109,24,B,QUMA,2011,
MEW,F122,52,B,QUMA,1993,
MEW,F122,52,B,QUMA,2006,
MEW,T132,35,A,QUAL,1991,
MEW,T132,35,A,QUAL,1996,
MEW,T132,35,A,QUAL,2005,
MEW,M134,41,A,QURU,2003,
MEW,R109,13,A,QUMA,1995,
